,portfolio_val,cash,paid_out_dividends,fees,taxes,num_buys,num_sells,num_adj,buy_vol,sell_vol,adj_vol
2021-07-19,99988.83373314403,2887.670633890037,4.023750000000001,0.0,1.5262499999998909,0,0,0,0.0,0.0,0.0
2021-07-20,101664.34804167548,2890.5706338900372,2.9,0.0,1.099999999999909,0,0,0,0.0,0.0,0.0
2021-07-21,102492.91319849262,2890.5706338900372,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-07-22,102124.21635198758,2890.5706338900372,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-07-23,102930.62428383165,2901.1266338900373,10.556,0.0,4.003999999999905,0,0,0,0.0,0.0,0.0
2021-07-26,103313.465960127,2906.3031338900373,5.176500000000001,0.0,1.9635000000000673,0,0,0,0.0,0.0,0.0
2021-07-27,102987.4358625239,2906.3031338900373,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-07-28,103046.4125512667,2906.3031338900373,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-07-29,104045.42270652691,2928.7273838900373,22.42425,0.0,8.505750000000035,0,0,0,0.0,0.0,0.0
2021-07-30,103663.55747942308,2947.267083890037,18.5397,0.0,7.03229999999985,0,0,0,0.0,0.0,0.0
2021-08-02,103409.81919443804,2955.7205838900372,8.4535,0.0,3.2065000000000055,0,0,0,0.0,0.0,0.0
2021-08-03,104596.3500772336,2955.7205838900372,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-08-04,103804.06733024391,2955.7205838900372,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-08-05,104197.47762096039,2973.6077838900374,17.8872,0.0,6.784799999999905,0,0,0,0.0,0.0,0.0
2021-08-06,104715.55014087886,2979.1177838900376,5.51,0.0,2.0900000000001455,0,0,0,0.0,0.0,0.0
2021-08-09,104620.75074176134,2988.2114762900374,9.0936924,0.0,3.4493316000000505,0,0,0,0.0,0.0,0.0
2021-08-10,105571.74281936763,2988.2114762900374,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-08-11,106452.69377446003,2988.2114762900374,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-08-12,106465.91568825471,3059.905276290038,71.69380000000001,0.0,27.194199999999682,0,0,0,0.0,0.0,0.0
2021-08-13,106470.9111020548,3066.7927762900376,6.887499999999999,0.0,2.6124999999999545,0,0,0,0.0,0.0,0.0
2021-08-16,106601.00500949063,3066.7927762900376,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-08-17,105520.9143182223,3101.628863890038,34.8360876,0.0,13.213688400000137,0,0,0,0.0,0.0,0.0
2021-08-18,104593.51717402373,3106.957613890038,5.32875,0.0,2.021250000000009,0,0,0,0.0,0.0,0.0
2021-08-19,103858.16194611632,3126.1034138900377,19.1458,0.0,7.262199999999893,0,0,0,0.0,0.0,0.0
2021-08-20,104406.86190485823,3133.425913890038,7.3225,0.0,2.777499999999918,0,0,0,0.0,0.0,0.0
2021-08-23,105204.09099413785,3133.425913890038,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-08-24,105655.02395238329,3142.198413890038,8.7725,0.0,3.3275000000001,0,0,0,0.0,0.0,0.0
2021-08-25,106337.58706823802,3142.198413890038,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2021-08-26,105648.8858778062,3151.1884138900377,8.99,0.0,3.410000000000082,0,0,0,0.0,0.0,0.0
2021-08-27,106531.99750709327,3154.5379138900375,3.3495,0.0,1.2705000000000837,0,0,0,0.0,0.0,0.0
2021-08-30,106378.14987790395,3173.0172576400373,18.47934375,0.0,7.009406249999984,0,0,0,0.0,0.0,0.0
2021-08-31,106174.47132919228,3178.3822576400376,5.365,0.0,2.0349999999998545,0,0,0,0.0,0.0,0.0
