date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-06-15 00:00:00+00:00,103.65,104.5,103.39,103.72,1460024,103.65,104.5,103.39,103.72,1460024,0.0,1.0
2021-06-16 00:00:00+00:00,102.59,104.14,101.61,104.07,1360673,102.59,104.14,101.61,104.07,1360673,0.0,1.0
2021-06-17 00:00:00+00:00,102.58,103.86,101.83,102.29,1464150,102.58,103.86,101.83,102.29,1464150,0.0,1.0
2021-06-18 00:00:00+00:00,99.9,101.94,99.39,101.72,4637091,99.9,101.94,99.39,101.72,4637091,0.0,1.0
2021-06-21 00:00:00+00:00,100.48,101.13,99.89,100.26,4476557,100.48,101.13,99.89,100.26,4476557,0.0,1.0
2021-06-22 00:00:00+00:00,100.36,100.73,99.58,100.58,1961282,100.36,100.73,99.58,100.58,1961282,0.0,1.0
2021-06-23 00:00:00+00:00,100.3,101.13,99.7239,99.7239,1156717,100.3,101.13,99.7239,99.7239,1156717,0.0,1.0
2021-06-24 00:00:00+00:00,102.53,102.65,101.22,101.22,1343319,102.53,102.65,101.22,101.22,1343319,0.0,1.0
2021-06-25 00:00:00+00:00,102.66,103.97,101.81,102.77,5321615,102.66,103.97,101.81,102.77,5321615,0.0,1.0
2021-06-28 00:00:00+00:00,104.6,104.97,103.16,103.5,1063551,104.6,104.97,103.16,103.5,1063551,0.0,1.0
2021-06-29 00:00:00+00:00,104.96,105.2983,104.18,104.45,1047511,104.96,105.2983,104.18,104.45,1047511,0.0,1.0
2021-06-30 00:00:00+00:00,105.36,105.49,104.22,104.92,1639166,105.36,105.49,104.22,104.92,1639166,0.0,1.0
2021-07-01 00:00:00+00:00,103.19,105.23,103.05,105.0,1799798,103.19,105.23,103.05,105.0,1799798,0.0,1.0
2021-07-02 00:00:00+00:00,104.03,104.51,103.585,104.14,1048119,104.03,104.51,103.585,104.14,1048119,0.0,1.0
2021-07-06 00:00:00+00:00,102.56,104.51,101.68,104.22,1660634,102.56,104.51,101.68,104.22,1660634,0.0,1.0
